,NIST 800-53 Security Controls Catalog Revision 5,,,FedRAMP® Moderate Baseline,,,,
IA-05 (06),IDENTIFICATION AND AUTHENTICATION,IA-5 (6),Authenticator Management | Protection of Authenticators,Protect authenticators commensurate with the security category of the information to which use of the authenticator permits access.,"For systems that contain multiple security categories of information without reliable physical or logical separation between categories, authenticators used to grant access to the systems are protected commensurate with the highest security category of information on the systems. Security categories of information are determined as part of the security categorization process.",,,
IA-05 (07),IDENTIFICATION AND AUTHENTICATION,IA-5 (7),Authenticator Management | No Embedded Unencrypted Static Authenticators,Ensure that unencrypted static authenticators are not embedded in applications or other forms of static storage.,"In addition to applications, other forms of static storage include access scripts and function keys. Organizations exercise caution when determining whether embedded or stored authenticators are in encrypted or unencrypted form. If authenticators are used in the manner stored, then those representations are considered unencrypted authenticators.",,"IA-5 (7) Guidance: In this context, prohibited static storage refers to any storage where unencrypted authenticators, such as passwords, persist beyond the time required to complete the access process.",
IA-06,IDENTIFICATION AND AUTHENTICATION,IA-6,Authentication Feedback,Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals.,"Authentication feedback from systems does not provide information that would allow unauthorized individuals to compromise authentication mechanisms. For some types of systems, such as desktops or notebooks with relatively large monitors, the threat (referred to as shoulder surfing) may be significant. For other types of systems, such as mobile devices with small displays, the threat may be less significant and is balanced against the increased likelihood of typographic input errors due to small keyboards. Thus, the means for obscuring authentication feedback is selected accordingly. Obscuring authentication feedback includes displaying asterisks when users type passwords into input devices or displaying feedback for a very limited time before obscuring it.",,,
IA-07,IDENTIFICATION AND AUTHENTICATION,IA-7,Cryptographic Module Authentication,"Implement mechanisms for authentication to a cryptographic module that meet the requirements of applicable laws, executive orders, directives, policies, regulations, standards, and guidelines for such authentication.",Authentication mechanisms may be required within a cryptographic module to authenticate an operator accessing the module and to verify that the operator is authorized to assume the requested role and perform services within that role.,,,
IA-08,IDENTIFICATION AND AUTHENTICATION,IA-8,Identification and Authentication (non-organizational Users),Uniquely identify and authenticate non-organizational users or processes acting on behalf of non-organizational users.,"Non-organizational users include system users other than organizational users explicitly covered by IA-2. Non-organizational users are uniquely identified and authenticated for accesses other than those explicitly identified and documented in AC-14. Identification and authentication of non-organizational users accessing federal systems may be required to protect federal, proprietary, or privacy-related information (with exceptions noted for national security systems). Organizations consider many factors—including security, privacy, scalability, and practicality—when balancing the need to ensure ease of use for access to federal information and systems with the need to protect and adequately mitigate risk.",,,
IA-08 (01),IDENTIFICATION AND AUTHENTICATION,IA-8 (1),Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,Accept and electronically verify Personal Identity Verification-compliant credentials from other federal agencies.,Acceptance of Personal Identity Verification (PIV) credentials from other federal agencies applies to both logical and physical access control systems. PIV credentials are those credentials issued by federal agencies that conform to FIPS Publication 201 and supporting guidelines. The adequacy and reliability of PIV card issuers are addressed and authorized using SP 800-79-2.,,,
IA-08 (02),IDENTIFICATION AND AUTHENTICATION,IA-8 (2),Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators," (a) Accept only external authenticators that are NIST-compliant; and
 (b) Document and maintain a list of accepted external authenticators.","Acceptance of only NIST-compliant external authenticators applies to organizational systems that are accessible to the public (e.g., public-facing websites). External authenticators are issued by nonfederal government entities and are compliant with SP 800-63B. Approved external authenticators meet or exceed the minimum Federal Government-wide technical, security, privacy, and organizational maturity requirements. Meeting or exceeding Federal requirements allows Federal Government relying parties to trust external authenticators in connection with an authentication transaction at a specified authenticator assurance level.",,,
IA-08 (04),IDENTIFICATION AND AUTHENTICATION,IA-8 (4),Identification and Authentication (non-organizational Users) | Use of Defined Profiles,Conform to the following profiles for identity management [Assignment: organization-defined identity management profiles].,"Organizations define profiles for identity management based on open identity management standards. To ensure that open identity management standards are viable, robust, reliable, sustainable, and interoperable as documented, the Federal Government assesses and scopes the standards and technology implementations against applicable laws, executive orders, directives, policies, regulations, standards, and guidelines.",,,
IA-11,IDENTIFICATION AND AUTHENTICATION,IA-11,Re-authentication,Require users to re-authenticate when [Assignment: organization-defined circumstances or situations requiring re-authentication].,"In addition to the re-authentication requirements associated with device locks, organizations may require re-authentication of individuals in certain situations, including when roles, authenticators or credentials change, when security categories of systems change, when the execution of privileged functions occurs, after a fixed time period, or periodically.",,"IA-11 Guidance:
The fixed time period cannot exceed the limits set in SP 800-63. At this writing they are:
- AAL2 (moderate baseline)
   -- 12 hours or 
   -- 30 minutes of inactivity",
IA-12,IDENTIFICATION AND AUTHENTICATION,IA-12,Identity Proofing,"a. Identity proof users that require accounts for logical access to systems based on appropriate identity assurance level requirements as specified in applicable standards and guidelines; 
 b. Resolve user identities to a unique individual; and
 c. Collect, validate, and verify identity evidence.","Identity proofing is the process of collecting, validating, and verifying a user’s identity information for the purposes of establishing credentials for accessing a system. Identity proofing is intended to mitigate threats to the registration of users and the establishment of their accounts. Standards and guidelines specifying identity assurance levels for identity proofing include SP 800-63-3 and SP 800-63A. Organizations may be subject to laws, executive orders, directives, regulations, or policies that address the collection of identity evidence. Organizational personnel consult with the senior agency official for privacy and legal counsel regarding such requirements.",,"IA-12 Additional FedRAMP Requirements and Guidance:
Guidance: In accordance with NIST SP 800-63A Enrollment and Identity Proofing",
IA-12 (02),IDENTIFICATION AND AUTHENTICATION,IA-12 (2),Identity Proofing | Identity Evidence,Require evidence of individual identification be presented to the registration authority.,"Identity evidence, such as documentary evidence or a combination of documents and biometrics, reduces the likelihood of individuals using fraudulent identification to establish an identity or at least increases the work factor of potential adversaries. The forms of acceptable evidence are consistent with the risks to the systems, roles, and privileges associated with the user’s account.",,,
IA-12 (03),IDENTIFICATION AND AUTHENTICATION,IA-12 (3),Identity Proofing | Identity Evidence Validation and Verification,Require that the presented identity evidence be validated and verified through [Assignment: organizational defined methods of validation and verification].,"Validation and verification of identity evidence increases the assurance that accounts and identifiers are being established for the correct user and authenticators are being bound to that user. Validation refers to the process of confirming that the evidence is genuine and authentic, and the data contained in the evidence is correct, current, and related to an individual. Verification confirms and establishes a linkage between the claimed identity and the actual existence of the user presenting the evidence. Acceptable methods for validating and verifying identity evidence are consistent with the risks to the systems, roles, and privileges associated with the users account.",,,
IA-12 (05),IDENTIFICATION AND AUTHENTICATION,IA-12 (5),Identity Proofing | Address Confirmation,Require that a [Selection: registration code; notice of proofing] be delivered through an out-of-band channel to verify the users address (physical or digital) of record.,"To make it more difficult for adversaries to pose as legitimate users during the identity proofing process, organizations can use out-of-band methods to ensure that the individual associated with an address of record is the same individual that participated in the registration. Confirmation can take the form of a temporary enrollment code or a notice of proofing. The delivery address for these artifacts is obtained from records and not self-asserted by the user. The address can include a physical or digital address. A home address is an example of a physical address. Email addresses and telephone numbers are examples of digital addresses.",,"IA-12 (5) Additional FedRAMP Requirements and Guidance:
Guidance: In accordance with NIST SP 800-63A Enrollment and Identity Proofing",
IR-01,INCIDENT RESPONSE,IR-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] incident response policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the incident response policy and the associated incident response controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the incident response policy and procedures; and
 c. Review and update the current incident response:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","Incident response policy and procedures address the controls in the IR family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of incident response policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to incident response policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","IR-1 (c) (1) [at least every 3 years] 
IR-1 (c) (2) [at least annually] [significant changes]", ,X
IR-02,INCIDENT RESPONSE,IR-2,Incident Response Training,"a. Provide incident response training to system users consistent with assigned roles and responsibilities:
 1. Within [Assignment: organization-defined time period] of assuming an incident response role or responsibility or acquiring system access;
 2. When required by system changes; and
 3. [Assignment: organization-defined frequency] thereafter; and
 b. Review and update incident response training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","Incident response training is associated with the assigned roles and responsibilities of organizational personnel to ensure that the appropriate content and level of detail are included in such training. For example, users may only need to know who to call or how to recognize an incident; system administrators may require additional training on how to handle incidents; and incident responders may receive more specific training on forensics, data collection techniques, reporting, system recovery, and system restoration. Incident response training includes user training in identifying and reporting suspicious activities from external and internal sources. Incident response training for users may be provided as part of AT-2 or AT-3. Events that may precipitate an update to incident response training content include, but are not limited to, incident response plan testing or response to an actual incident (lessons learned), assessment or audit findings, or changes in applicable laws, executive orders, directives, regulations, policies, standards, and guidelines.","IR-2 (a) (1) [ten (10) days for privileged users, thirty (30) days for Incident Response roles]
IR-2 (a) (3) [at least annually]
IR-2 (b) [at least annually]",,X
IR-03,INCIDENT RESPONSE,IR-3,Incident Response Testing,Test the effectiveness of the incident response capability for the system [Assignment: organization-defined frequency] using the following tests: [Assignment: organization-defined tests].,"Organizations test incident response capabilities to determine their effectiveness and identify potential weaknesses or deficiencies. Incident response testing includes the use of checklists, walk-through or tabletop exercises, and simulations (parallel or full interrupt). Incident response testing can include a determination of the effects on organizational operations and assets and individuals due to incident response. The use of qualitative and quantitative data aids in determining the effectiveness of incident response processes.","IR-3-1 [functional, at least annually]",IR-3-2 Requirement: The service provider defines tests and/or exercises in accordance with NIST Special Publication 800-61 (as amended). Functional testing must occur prior to testing for initial authorization. Annual functional testing may be concurrent with required penetration tests (see CA-8). The service provider provides test plans to the JAB/AO annually. Test plans are approved and accepted by the JAB/AO prior to test commencing.,X
IR-03 (02),INCIDENT RESPONSE,IR-3 (2),Incident Response Testing | Coordination with Related Plans,Coordinate incident response testing with organizational elements responsible for related plans.,"Organizational plans related to incident response testing include business continuity plans, disaster recovery plans, continuity of operations plans, contingency plans, crisis communications plans, critical infrastructure plans, and occupant emergency plans.",,,
IR-04,INCIDENT RESPONSE,IR-4,Incident Handling,"a. Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;
 b. Coordinate incident handling activities with contingency planning activities;
 c. Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and
 d. Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization.","Organizations recognize that incident response capabilities are dependent on the capabilities of organizational systems and the mission and business processes being supported by those systems. Organizations consider incident response as part of the definition, design, and development of mission and business processes and systems. Incident-related information can be obtained from a variety of sources, including audit monitoring, physical access monitoring, and network monitoring; user or administrator reports; and reported supply chain events. An effective incident handling capability includes coordination among many organizational entities (e.g., mission or business owners, system owners, authorizing officials, human resources offices, physical security offices, personnel security offices, legal departments, risk executive [function], operations personnel, procurement offices). Suspected security incidents include the receipt of suspicious email communications that can contain malicious code. Suspected supply chain incidents include the insertion of counterfeit hardware or malicious code into organizational systems or system components. For federal agencies, an incident that involves personally identifiable information is considered a breach. A breach results in unauthorized disclosure, the loss of control, unauthorized acquisition, compromise, or a similar occurrence where a person other than an authorized user accesses or potentially accesses personally identifiable information or an authorized user accesses or potentially accesses such information for other than authorized purposes.",,"IR-4 Requirement: The FISMA definition of ""incident"" shall be used: ""An occurrence that actually or imminently jeopardizes, without lawful authority, the confidentiality, integrity, or availability of information or an information system; or constitutes a violation or imminent threat of violation of law, security policies, security procedures, or acceptable use policies.""

IR-4 Requirement: The service provider ensures that individuals conducting incident handling meet personnel security requirements commensurate with the criticality/sensitivity of the information being processed, stored, and transmitted by the information system.
",
IR-04 (01),INCIDENT RESPONSE,IR-4 (1),Incident Handling | Automated Incident Handling Processes,Support the incident handling process using [Assignment: organization-defined automated mechanisms].,"Automated mechanisms that support incident handling processes include online incident management systems and tools that support the collection of live response data, full network packet capture, and forensic analysis.",,,
IR-05,INCIDENT RESPONSE,IR-5,Incident Monitoring,Track and document incidents.,"Documenting incidents includes maintaining records about each incident, the status of the incident, and other pertinent information necessary for forensics as well as evaluating incident details, trends, and handling. Incident information can be obtained from a variety of sources, including network monitoring, incident reports, incident response teams, user complaints, supply chain partners, audit monitoring, physical access monitoring, and user and administrator reports. IR-4 provides information on the types of incidents that are appropriate for monitoring.",,,
IR-06,INCIDENT RESPONSE,IR-6,Incident Reporting,"a. Require personnel to report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period]; and
 b. Report incident information to [Assignment: organization-defined authorities].","The types of incidents reported, the content and timeliness of the reports, and the designated reporting authorities reflect applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Incident information can inform risk assessments, control effectiveness assessments, security requirements for acquisitions, and selection criteria for technology products.",IR-6 (a) [US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended)],IR-6 Requirement: Reports security incident information according to FedRAMP Incident Communications Procedure.,X
IR-06 (01),INCIDENT RESPONSE,IR-6 (1),Incident Reporting | Automated Reporting,Report incidents using [Assignment: organization-defined automated mechanisms].,"The recipients of incident reports are specified in IR-6b. Automated reporting mechanisms include email, posting on websites (with automatic updates), and automated incident response tools and programs.",,,
IR-06 (03),INCIDENT RESPONSE,IR-6 (3),Incident Reporting | Supply Chain Coordination,Provide incident information to the provider of the product or service and other organizations involved in the supply chain or supply chain governance for systems or system components related to the incident.,"Organizations involved in supply chain activities include product developers, system integrators, manufacturers, packagers, assemblers, distributors, vendors, and resellers. Entities that provide supply chain governance include the Federal Acquisition Security Council (FASC). Supply chain incidents include compromises or breaches that involve information technology products, system components, development processes or personnel, distribution processes, or warehousing facilities. Organizations determine the appropriate information to share and consider the value gained from informing external organizations about supply chain incidents, including the ability to improve processes or to identify the root cause of an incident.",,,
IR-07,INCIDENT RESPONSE,IR-7,Incident Response Assistance,"Provide an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the system for the handling and reporting of incidents.","Incident response support resources provided by organizations include help desks, assistance groups, automated ticketing systems to open and track incident response tickets, and access to forensics services or consumer redress services, when required.",,,
IR-07 (01),INCIDENT RESPONSE,IR-7 (1),Incident Response Assistance | Automation Support for Availability of Information and Support,Increase the availability of incident response information and support using [Assignment: organization-defined automated mechanisms].,"Automated mechanisms can provide a push or pull capability for users to obtain incident response assistance. For example, individuals may have access to a website to query the assistance capability, or the assistance capability can proactively send incident response information to users (general distribution or targeted) as part of increasing understanding of current response capabilities and support.",,,
IR-08,INCIDENT RESPONSE,IR-8,Incident Response Plan,"a. Develop an incident response plan that:
 1. Provides the organization with a roadmap for implementing its incident response capability;
 2. Describes the structure and organization of the incident response capability;
 3. Provides a high-level approach for how the incident response capability fits into the overall organization;
 4. Meets the unique requirements of the organization, which relate to mission, size, structure, and functions;
 5. Defines reportable incidents;
 6. Provides metrics for measuring the incident response capability within the organization;
 7. Defines the resources and management support needed to effectively maintain and mature an incident response capability;
 8. Addresses the sharing of incident information;
 9. Is reviewed and approved by [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]; and
 10. Explicitly designates responsibility for incident response to [Assignment: organization-defined entities, personnel, or roles].
 b. Distribute copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements];
 c. Update the incident response plan to address system and organizational changes or problems encountered during plan implementation, execution, or testing;
 d. Communicate incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements]; and
 e. Protect the incident response plan from unauthorized disclosure and modification.","It is important that organizations develop and implement a coordinated approach to incident response. Organizational mission and business functions determine the structure of incident response capabilities. As part of the incident response capabilities, organizations consider the coordination and sharing of information with external organizations, including external service providers and other organizations involved in the supply chain. For incidents involving personally identifiable information (i.e., breaches), include a process to determine whether notice to oversight organizations or affected individuals is appropriate and provide that notice accordingly.","IR-8 (a) (9)-2 [at least annually]
IR-8 (b) [see additional FedRAMP Requirements and Guidance]
IR-8 (d) [see additional FedRAMP Requirements and Guidance]","IR-8 (b) Requirement: The service provider defines a list of incident response personnel (identified by name and/or by role) and organizational elements. The incident response list includes designated FedRAMP personnel.
IR-8 (d) Requirement: The service provider defines a list of incident response personnel (identified by name and/or by role) and organizational elements. The incident response list includes designated FedRAMP personnel.",X
IR-09,INCIDENT RESPONSE,IR-9,Information Spillage Response,"Respond to information spills by:
 a. Assigning [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills;
 b. Identifying the specific information involved in the system contamination;
 c. Alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill;
 d. Isolating the contaminated system or system component;
 e. Eradicating the information from the contaminated system or component;
 f. Identifying other systems or system components that may have been subsequently contaminated; and
 g. Performing the following additional actions: [Assignment: organization-defined actions].","Information spillage refers to instances where information is placed on systems that are not authorized to process such information. Information spills occur when information that is thought to be a certain classification or impact level is transmitted to a system and subsequently is determined to be of a higher classification or impact level. At that point, corrective action is required. The nature of the response is based on the classification or impact level of the spilled information, the security capabilities of the system, the specific nature of the contaminated storage media, and the access authorizations of individuals with authorized access to the contaminated system. The methods used to communicate information about the spill after the fact do not involve methods directly associated with the actual spill to minimize the risk of further spreading the contamination before such contamination is isolated and eradicated.",, ,
IR-09 (02),INCIDENT RESPONSE,IR-9 (2),Information Spillage Response | Training,Provide information spillage response training [Assignment: organization-defined frequency].,Organizations establish requirements for responding to information spillage incidents in incident response plans. Incident response training on a regular basis helps to ensure that organizational personnel understand their individual responsibilities and what specific actions to take when spillage incidents occur.,IR-9 (2) [at least annually], ,X
IR-09 (03),INCIDENT RESPONSE,IR-9 (3),Information Spillage Response | Post-spill Operations,Implement the following procedures to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions: [Assignment: organization-defined procedures].,"Corrective actions for systems contaminated due to information spillages may be time-consuming. Personnel may not have access to the contaminated systems while corrective actions are being taken, which may potentially affect their ability to conduct organizational business.",, ,
IR-09 (04),INCIDENT RESPONSE,IR-9 (4),Information Spillage Response | Exposure to Unauthorized Personnel,Employ the following controls for personnel exposed to information not within assigned access authorizations: [Assignment: organization-defined controls].,"Controls include ensuring that personnel who are exposed to spilled information are made aware of the laws, executive orders, directives, regulations, policies, standards, and guidelines regarding the information and the restrictions imposed based on exposure to such information.",, ,
MA-01,MAINTENANCE,MA-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] maintenance policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the maintenance policy and the associated maintenance controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the maintenance policy and procedures; and
 c. Review and update the current maintenance:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","Maintenance policy and procedures address the controls in the MA family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of maintenance policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to maintenance policy and procedures assessment or audit findings, security incidents or breaches, or changes in applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","MA-1 (c) (1) [at least every 3 years]
MA-1 (c) (2) [at least annually] [significant changes]", ,X
MA-02,MAINTENANCE,MA-2,Controlled Maintenance,"a. Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements;
 b. Approve and monitor all maintenance activities, whether performed on site or remotely and whether the system or system components are serviced on site or removed to another location;
 c. Require that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the system or system components from organizational facilities for off-site maintenance, repair, or replacement;
 d. Sanitize equipment to remove the following information from associated media prior to removal from organizational facilities for off-site maintenance, repair, or replacement: [Assignment: organization-defined information];
 e. Check all potentially impacted controls to verify that the controls are still functioning properly following maintenance, repair, or replacement actions; and
 f. Include the following information in organizational maintenance records: [Assignment: organization-defined information].","Controlling system maintenance addresses the information security aspects of the system maintenance program and applies to all types of maintenance to system components conducted by local or nonlocal entities. Maintenance includes peripherals such as scanners, copiers, and printers. Information necessary for creating effective maintenance records includes the date and time of maintenance, a description of the maintenance performed, names of the individuals or group performing the maintenance, name of the escort, and system components or equipment that are removed or replaced. Organizations consider supply chain-related risks associated with replacement components for systems.",,,
MA-03,MAINTENANCE,MA-3,Maintenance Tools,"a. Approve, control, and monitor the use of system maintenance tools; and
 b. Review previously approved system maintenance tools [Assignment: organization-defined frequency].","Approving, controlling, monitoring, and reviewing maintenance tools address security-related issues associated with maintenance tools that are not within system authorization boundaries and are used specifically for diagnostic and repair actions on organizational systems. Organizations have flexibility in determining roles for the approval of maintenance tools and how that approval is documented. A periodic review of maintenance tools facilitates the withdrawal of approval for outdated, unsupported, irrelevant, or no-longer-used tools. Maintenance tools can include hardware, software, and firmware items and may be pre-installed, brought in with maintenance personnel on media, cloud-based, or downloaded from a website. Such tools can be vehicles for transporting malicious code, either intentionally or unintentionally, into a facility and subsequently into systems. Maintenance tools can include hardware and software diagnostic test equipment and packet sniffers. The hardware and software components that support maintenance and are a part of the system (including the software implementing utilities such as ping, ls, ipconfig, or the hardware and software implementing the monitoring port of an Ethernet switch) are not addressed by maintenance tools.",MA-3 (b) [at least annually],,X
MA-03 (01),MAINTENANCE,MA-3 (1),Maintenance Tools | Inspect Tools,Inspect the maintenance tools used by maintenance personnel for improper or unauthorized modifications.,"Maintenance tools can be directly brought into a facility by maintenance personnel or downloaded from a vendor’s website. If, upon inspection of the maintenance tools, organizations determine that the tools have been modified in an improper manner or the tools contain malicious code, the incident is handled consistent with organizational policies and procedures for incident handling.",,,
MA-03 (02),MAINTENANCE,MA-3 (2),Maintenance Tools | Inspect Media,Check media containing diagnostic and test programs for malicious code before the media are used in the system.,"If, upon inspection of media containing maintenance, diagnostic, and test programs, organizations determine that the media contains malicious code, the incident is handled consistent with organizational incident handling policies and procedures.",,,
MA-03 (03),MAINTENANCE,MA-3 (3),Maintenance Tools | Prevent Unauthorized Removal,"Prevent the removal of maintenance equipment containing organizational information by:
 (a) Verifying that there is no organizational information contained on the equipment;
 (b) Sanitizing or destroying the equipment;
 (c) Retaining the equipment within the facility; or
 (d) Obtaining an exemption from [Assignment: organization-defined personnel or roles] explicitly authorizing removal of the equipment from the facility.",Organizational information includes all information owned by organizations and any information provided to organizations for which the organizations serve as information stewards.,MA-3 (3) (d) [the information owner],,X
MA-04,MAINTENANCE,MA-4,Nonlocal Maintenance,"a. Approve and monitor nonlocal maintenance and diagnostic activities;
 b. Allow the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the system;
 c. Employ strong authentication in the establishment of nonlocal maintenance and diagnostic sessions;
 d. Maintain records for nonlocal maintenance and diagnostic activities; and
 e. Terminate session and network connections when nonlocal maintenance is completed.","Nonlocal maintenance and diagnostic activities are conducted by individuals who communicate through either an external or internal network. Local maintenance and diagnostic activities are carried out by individuals who are physically present at the system location and not communicating across a network connection. Authentication techniques used to establish nonlocal maintenance and diagnostic sessions reflect the network access requirements in IA-2. Strong authentication requires authenticators that are resistant to replay attacks and employ multi-factor authentication. Strong authenticators include PKI where certificates are stored on a token protected by a password, passphrase, or biometric. Enforcing requirements in MA-4 is accomplished, in part, by other controls. SP 800-63B provides additional guidance on strong authentication and authenticators.",,,
MA-05,MAINTENANCE,MA-5,Maintenance Personnel,"a. Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel;
 b. Verify that non-escorted personnel performing maintenance on the system possess the required access authorizations; and
 c. Designate organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.","Maintenance personnel refers to individuals who perform hardware or software maintenance on organizational systems, while PE-2 addresses physical access for individuals whose maintenance duties place them within the physical protection perimeter of the systems. Technical competence of supervising individuals relates to the maintenance performed on the systems, while having required access authorizations refers to maintenance on and near the systems. Individuals not previously identified as authorized maintenance personnel—such as information technology manufacturers, vendors, systems integrators, and consultants—may require privileged access to organizational systems, such as when they are required to conduct maintenance activities with little or no notice. Based on organizational assessments of risk, organizations may issue temporary credentials to these individuals. Temporary credentials may be for one-time use or for very limited time periods.",,,
MA-05 (01),MAINTENANCE,MA-5 (1),Maintenance Personnel | Individuals Without Appropriate Access,"The organization:
 (a)   Implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements:
    (1)   Maintenance personnel who do not have needed access authorizations, clearances, or formal access approvals are escorted and supervised during the performance of maintenance and diagnostic activities on the information system by approved organizational personnel who are fully cleared, have appropriate access authorizations, and are technically qualified;
   (2)   Prior to initiating maintenance or diagnostic activities by personnel who do not have needed access authorizations, clearances or formal access approvals, all volatile information storage components within the information system are sanitized and all nonvolatile storage media are removed or physically disconnected from the system and secured; and
 (b)   Develops and implements alternate security safeguards in the event an information system component cannot be sanitized, removed, or disconnected from the system.

Supplemental Guidance:  This control enhancement denies individuals who lack appropriate security clearances (i.e., individuals who do not possess security clearances or possess security clearances at a lower level than required) or who are not U.S. citizens, visual and
electronic access to any classified information, Controlled Unclassified Information (CUI), or any other sensitive information contained on organizational information systems. Procedures for the use of maintenance personnel can be documented in security plans for the information systems. Related controls: MP-6, PL-2.
",Procedures for individuals who lack appropriate security clearances or who are not U.S. citizens are intended to deny visual and electronic access to classified or controlled unclassified information contained on organizational systems. Procedures for the use of maintenance personnel can be documented in security plans for the systems.,,"MA-5 (1) Requirement: Only MA-5 (1) (a) (1) is required by FedRAMP Moderate Baseline
",
MA-06,MAINTENANCE,MA-6,Timely Maintenance,Obtain maintenance support and/or spare parts for [Assignment: organization-defined system components] within [Assignment: organization-defined time period] of failure.,"Organizations specify the system components that result in increased risk to organizational operations and assets, individuals, other organizations, or the Nation when the functionality provided by those components is not operational. Organizational actions to obtain maintenance support include having appropriate contracts in place.",MA-6-2 [a timeframe to support advertised uptime and availability],,X
